                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9312,                 3.4628,                 1.6251,                0.00333,                      1,                0.34514,                0.26962,                 1.1274,                 3.4617,                0.96392,                0.00018,                0.00018,                0.00018
                      2,                 1.5085,                 2.3935,                 1.4047,                0.00333,                      1,                0.37241,                 0.2481,                 1.2998,                 3.4755,                 1.1421,             0.00036119,             0.00036119,             0.00036119
                      3,                 1.4141,                 2.1904,                 1.3424,                0.00333,                      1,                0.36426,                0.18866,                 1.3253,                 3.6591,                 1.1591,             0.00052258,             0.00052258,             0.00052258
                      4,                 1.4598,                 2.0699,                 1.3413,                0.97583,                0.31579,                0.41632,                 0.2602,                 1.2689,                 3.3752,                 1.1621,             0.00066417,             0.00066417,             0.00066417
                      5,                 1.4592,                 1.9905,                 1.3801,                0.74051,                0.26316,                0.43638,                0.18333,                 1.3135,                 3.5441,                 1.2983,             0.00078596,             0.00078596,             0.00078596
                      6,                 1.4124,                  1.898,                 1.2625,                      1,                0.31433,                0.47248,                0.21683,                 1.5807,                 3.5375,                 1.3203,             0.00088795,             0.00088795,             0.00088795
                      7,                 1.3598,                 1.8031,                 1.2675,                0.92718,                0.31579,                0.48879,                0.21927,                 1.7757,                 3.3217,                 1.3283,             0.00097014,             0.00097014,             0.00097014
                      8,                 1.3824,                  1.682,                 1.2665,                0.87871,                0.57895,                0.69592,                 0.3295,                 1.8155,                 2.9289,                  1.326,              0.0010325,              0.0010325,              0.0010325
                      9,                 1.3627,                 1.6781,                 1.2338,                0.91994,                0.68421,                0.81946,                0.38847,                 1.7449,                 2.9426,                 1.3232,              0.0010751,              0.0010751,              0.0010751
                     10,                 1.3243,                 1.6672,                 1.2109,                0.83083,                0.42105,                0.62294,                0.33433,                 1.7154,                 2.9483,                 1.2311,              0.0010979,              0.0010979,              0.0010979
                     11,                 1.3676,                 2.2137,                 1.2675,                0.57115,                0.42061,                0.41455,                0.13057,                 1.7208,                 3.5586,                 1.3605,                0.00101,                0.00101,                0.00101
                     12,                 1.2723,                 2.1986,                 1.1616,                0.75158,                0.47368,                0.60376,                0.20603,                 1.7095,                 3.1368,                 1.3526,               0.000911,               0.000911,               0.000911
                     13,                 1.3193,                 2.0511,                 1.2492,                0.96481,                0.63158,                0.79121,                0.38952,                 1.4757,                 2.3639,                  1.193,               0.000812,               0.000812,               0.000812
                     14,                 1.3272,                 2.0291,                 1.2691,                0.93068,                0.78947,                0.89751,                0.49363,                 1.5185,                 2.0904,                  1.229,               0.000713,               0.000713,               0.000713
                     15,                 1.2343,                 1.8361,                 1.1769,                      1,                  0.678,                0.84796,                0.50643,                 1.5505,                 2.0988,                 1.2398,               0.000614,               0.000614,               0.000614
                     16,                 1.2808,                 1.8185,                 1.1916,                0.81108,                0.84211,                0.88043,                0.51296,                 1.4632,                 1.8827,                 1.1909,               0.000515,               0.000515,               0.000515
                     17,                 1.2053,                 1.7785,                 1.1534,                0.89457,                0.89324,                0.92409,                0.52156,                 1.4255,                 1.7274,                 1.1542,               0.000416,               0.000416,               0.000416
                     18,                 1.1537,                 1.7124,                 1.1628,                0.98731,                0.89474,                0.93615,                0.53164,                 1.4068,                 1.6018,                 1.1134,               0.000317,               0.000317,               0.000317
                     19,                 1.0817,                 1.6693,                 1.0803,                0.98398,                0.89474,                0.94246,                0.54144,                 1.4598,                 1.5797,                 1.1279,               0.000218,               0.000218,               0.000218
                     20,                  1.105,                 1.6417,                 1.0685,                      1,                0.93677,                0.94509,                0.54381,                 1.4999,                 1.5369,                 1.1528,               0.000119,               0.000119,               0.000119
